Title,Link,Description
Using Course Outlines,https://successportal.conestogac.on.ca/students/docs/detail/237?filename=Using-Course-Outlines.pdf,Learn more about how to use course outlines.
Managing Procrastination Worksheet,https://successportal.conestogac.on.ca/students/docs/detail/236?filename=Managing-Procrastination-Worksheet_Fillable.pdf,Use this worksheet to identify your personal time-wasters and solutions for reducing procrastination.
Avoiding Procrastination,https://successportal.conestogac.on.ca/students/docs/detail/235?filename=Avoiding-Procrastination.pdf,Understand why and how you procrastinate and learn strategies to help you stop procrastinating.
How to Use a Day Planner Effectively,https://successportal.conestogac.on.ca/students/docs/detail/233?filename=How-to-use-a-Day-Planner-Effectively.pdf,Learn strategies of how to use a day planner effectively.
How to Prioritize,https://successportal.conestogac.on.ca/students/docs/detail/232?filename=How-to-Prioritize.pdf,Explore the 2 methods of how to prioritize and manage your time.
Winter 2025: Interim Semester for Discontinued Students,https://successportal.conestogac.on.ca/students/faqs/detail/90/winter-2025-interim-semester-f,"Join the General Arts and Science (GAS) Interim Semester (0791), which allows you to maintain full-time status (on probation). Courses available during the Interim Semester:COMM 2210 (or 1085 if you were not successful in this course)MDIA1070 – Information, Data and Current Events (GenEd)SOC1140 Canada in the Future (GenEd)Two Program Electives..."
Retaking a Course,https://successportal.conestogac.on.ca/students/faqs/detail/72/retaking-course,"To retake a course (when it is offered), log into the Student Portal, go to the ""My Courses"" tab, and add the course you wish to retake. Alternatively, you can submit a Course Change Request Form under the ""Services"" tab. After your request is approved, you will need to make payment within 72 hours (about 3 days) to finalize your enrollment...."
Terminology: Grade Point Averages,https://successportal.conestogac.on.ca/students/faqs/detail/91/terminology-grade-point-averag,Conestoga commonly uses two types of Grade Point Averages (GPAs):Term Weighted Average (TWA): Represents your average grade for a specific term (or semester).Program Weighted Average (PWA): Reflects your cumulative average across your entire program. Definitions of these GPAs and details on how they are calculated are available on the...
Leaves & Absences: International Students,https://successportal.conestogac.on.ca/students/faqs/detail/79/leaves-and-absences-internatio,"Short-Term Leave If the time you will be away from your studies is not more than two academic weeks (10 days), you will not need to fill out any additional forms to proceed with the break. To start the leave process, your first step is to set up a meeting with your  International Student Immigration Advisor (ISIA). This meeting is very..."
Student Success service area locations during SLC renovations,https://successportal.conestogac.on.ca/students/docs/detail/231?filename=We%27ve-Moved-PDF_SSP_8.5x11_REVISED_DIGITAL.pdf,Find out where Student Success service areas are while renovations happen on the SLC.
Credit Transfer,https://successportal.conestogac.on.ca/students/faqs/detail/75/credit-transfer,"The credit transfer process begins once you have confirmed your acceptance into a Conestoga program. If you believe you have completed equivalent courses elsewhere, you can request individual credit transfers. You may also be interested in this resource information from the Registrar's Office. Here is an overview of the process:Transfers within..."
"Request a Letter: Accepted, Enrolled, Graduated",https://successportal.conestogac.on.ca/students/faqs/detail/89/request-letter-accepted-enroll,"Do you need a letter stating that you have been accepted, enrolled or that you have graduated?Do you need a verification of enrolment letter for your Registered Education Savings Plan (RESP)?Do you need a special or customized letter for an employer, day care or insurance company?Do you have a document that requires an official Conestoga seal or..."
Bell Let's Talk Day 2025,https://successportal.conestogac.on.ca/students/infoPages/detail/37/bell-let-s-talk-day-2025,A list of resources and details for Bell Let's Talk Day
Adding a Course,https://successportal.conestogac.on.ca/students/faqs/detail/88/adding-course,"Below are the steps for adding a course to your timetable.Log in to the Student Portal with your Student Network Login ID and password.Go to the ""Browse Continuing Education"" tabType the course code or course name into the search bar and click ""Search""Select the desired course from the search bar""View Availability"" to ensure the course is available..."
Convocation,https://successportal.conestogac.on.ca/students/faqs/detail/84/convocation,"Note: there are steps you need to complete at least 5 weeks ahead of your convocation date in order for your graduation to be in good standing. To prepare for Convocation, visit the Conestoga College Convocation page for details on ceremony schedules, guest tickets, regalia rental, and other important instructions. If you have specific questions..."
Math content resources and exercises by topic,https://successportal.conestogac.on.ca/students/infoPages/detail/10/math-content-resources-and-exe,Explore a variety of math resources and practice exercises listed by topic.
Exponents and Roots,https://successportal.conestogac.on.ca/students/links/detail/86,This video reviews the common errors made then using exponents and roots.
Math Help Videos - Calculus and Differential Equations,https://successportal.conestogac.on.ca/students/links/detail/85,Math videos created by Math Consultants at Conestoga College on calculus and differential equations topics.
Math Services Videos - Linear Algebra and Matrices,https://successportal.conestogac.on.ca/students/links/detail/84,Math videos created by Math Consultants at Conestoga College on linear algebra and matrices topics.
Camosun College Trades Math Self-Assessment,https://successportal.conestogac.on.ca/students/links/detail/83,General trades math practice test and answers provided by Camosun College.
BCIT Trades Math Self-Assessment,https://successportal.conestogac.on.ca/students/links/detail/82,General trades math practice problems and solutions provided by the British Columbia Institute of Technology.
Electrical circuit tutorials,https://successportal.conestogac.on.ca/students/links/detail/81,"Electrical theory tutorials on a variety of different topics including DC circuits, series circuits, parallel circuits, combination circuits, inductors, capacitors, RLC circuits, and more."
Electrical circuit problems and solutions,https://successportal.conestogac.on.ca/students/links/detail/80,"Series, parallel, and combination circuit practice problems with full solutions."
Red Seal Self-Assessment Questions by Trade,https://successportal.conestogac.on.ca/students/links/detail/79,Self-assessment questions from various trades provided by Red Seal. Includes both math and non-math questions.
Red Seal Sample Examination Questions by Trade,https://successportal.conestogac.on.ca/students/links/detail/78,Sample examination questions from various trades provided by Red Seal. Includes both math and non-math questions.
Trades Math Review and Practice Problems,https://successportal.conestogac.on.ca/students/links/detail/77,"Trades math workbook provided by the Government of Canada. Includes explanations, practice problems, and full solutions from various trades."
Math Services Videos - Probability and Statistics,https://successportal.conestogac.on.ca/students/links/detail/76,Math videos created by Math Consultants at Conestoga College on probability and statistics topics.
Math Services Videos,https://successportal.conestogac.on.ca/students/links/detail/75,General math help videos created by Math Consultants at Conestoga College.
Electives (Part-Time),https://successportal.conestogac.on.ca/students/faqs/detail/71/electives-part-time,"To enroll in part-time degree electives, visit the Degree Electives Course List. You must register through the Part-time Studies Course Registration Form, which opens on the first day of classes. Submit your form early to secure a spot on your desired course, as availability is limited.  There are two ways to add courses through the Student..."
Electives (Full-Time),https://successportal.conestogac.on.ca/students/faqs/detail/70/electives-full-time,"To add an elective course to your timetable, log onto the Student Portal, navigate to ‘My Courses,’ and select the elective you wish to add. Ensure the course does not conflict with your other courses. If you take an elective and your full course load, additional fees may apply. For more information, refer to the college's electives..."
Changing Academic Block (Timetable),https://successportal.conestogac.on.ca/students/faqs/detail/73/changing-academic-block-timeta,"A change to a student's schedule is sometimes also referred to as changing ""blocks"", ""sections"", or ""timetable"". Administratively, each of these have slightly different meanings, but from a student's perspective, the implication is the same - you want to switch the days or times of the courses you are taking to different options. Certain programs..."
Group Advising Sessions,https://successportal.conestogac.on.ca/students/infoPages/detail/36/group-advising-sessions,"Get help with adding courses, appeals & discontinuance on a drop-in basis"
Academic Integrity Violation,https://successportal.conestogac.on.ca/students/faqs/detail/66/academic-integrity-violation,"If you have been accused of an academic integrity violation, it is important to understand the seriousness of this situation. Academic integrity is about doing your schoolwork honestly and fairly.  Additionally, you may discuss with your professor to better understand what is considered an academic integrity violation. You may also book an..."
Academic Discontinuance,https://successportal.conestogac.on.ca/students/faqs/detail/86/academic-discontinuance,"If you are discontinued, this means you will be de-registered from your program and cannot continue your studies for a defined period of time. Academic discontinuance decisions are made when students fail to meet their program's academic standards as published in the Academic Advancement and Achievement Policy or in your Academic School..."
Academic Probation,https://successportal.conestogac.on.ca/students/faqs/detail/87/academic-probation,There are two levels of probation: Probation 1 (P1) and Probation 2 (P2). Students are placed on probation if they have a Term Weighted Average between 55 - 59.99% (unless otherwise stated in the Academic School Handbook). Students on P1 are encouraged (not required) to meet with an SSA or their Program Coordinator to develop a learning plan....
16 Days of Activism Against Gender-Based Violence,https://successportal.conestogac.on.ca/students/infoPages/detail/35/16-days-of-activism-against-ge,An interactive look at events and actions you can make during the 16 Day campaign.
WF+ Writing Support Cycle,https://successportal.conestogac.on.ca/students/docs/detail/229?filename=WF_-One-Pager.pdf,Follow through the stages of the writing process and learn where you can access support from Library & Learning Services.
Changing Programs,https://successportal.conestogac.on.ca/students/faqs/detail/69/changing-programs,"You must first identify a new program that is 'open’ to students by reviewing the list on the Open Programs webpage.  If you need help deciding which program is the best match for your career goal, you can book an appointment with a  Career Advisor or email careerservices@conestogac.on.ca.  Once you have confirmed the new program you would..."
Supplemental Assessment,https://successportal.conestogac.on.ca/students/faqs/detail/68/supplemental-assessment,"To be eligible for a supplemental assessment, you must meet specific criteria, such as completing all term work, having no academic integrity violations, and being within 3% of the passing grade. You are also limited to one supplemental assessment per term. If you meet these criteria, contact your Program Coordinator or Faculty to proceed. You can..."
Accessing Your Timetable,https://successportal.conestogac.on.ca/students/faqs/detail/4/accessing-your-timetable,"Your timetable is located on your Student Portal under Calendar > My Timetable.  To be able to view your timetable, you must complete all the steps required for registration.  See the Registration Help webpage for more information about timetables. Registration information for international students includes detailed instructions on completing..."
Second Program,https://successportal.conestogac.on.ca/students/faqs/detail/65/second-program,"A ""second program"" means you plan to: Complete your current program at Conestoga College and then enroll in another program at Conestoga, or You have already completed a program at Conestoga College and want to pursue another program here.Application QuestionsWhich programs are available?Program application process?Admission..."
Withdrawing (Program or Course),https://successportal.conestogac.on.ca/students/faqs/detail/6/withdrawing-program-or-course,"From a Program You can request a withdrawal from your program and/or refund on your Student Portal and click on Services > My Forms.For questions related to the withdrawal process, please email the Student Records department studentrecords@conestogac.on.ca. For questions related to fees and refunds, please email Student Fees at..."
Late Start to the Semester,https://successportal.conestogac.on.ca/students/faqs/detail/78/late-start-to-semester,"If you have a late start to the semester, you may need to create a Learning Agreement with your Program Chair. Start by reviewing your Academic Handbook before reaching out to their instructors to discuss missed work. Please also review the ""Instructional Plan"" for each of your courses on eConestoga.  If you have any concerns, book an appointment..."
Appealing a Course Grade,https://successportal.conestogac.on.ca/students/faqs/detail/67/appealing-course-grade,"Course grade appeals should be based on procedural errors, technical issues, or medical/compassionate grounds, not on dissatisfaction with the grade itself. For more details, review the Academic Dispute Resolution and Appeal Procedure under ""Academic Administration"" on the policies webpage.  To appeal a course grade, you must email the faculty..."
Enrollment Letter,https://successportal.conestogac.on.ca/students/faqs/detail/74/enrollment-letter,"To request an enrollment letter, log into your Student Portal and navigate to the ‘Enrollment’ or ‘Services’ section. Select ‘Print a Letter,’ choose 'Currently Enrolled Letter,' and click 'Generate' to download your letter as a PDF file.  If you encounter any issues, contact the Student Records team at studentrecords@conestogac.on.ca."
Refunds for Tuition & Fees,https://successportal.conestogac.on.ca/students/faqs/detail/76/refunds-for-tuition-and-fees,"To request a refund, log onto the Student Portal and complete the ""Request for Refund"" form under the ""Services"" tab. Select the appropriate reason for your request and provide all necessary documentation. You will receive an email notification once your request has been processed. International students: if you are requesting a refund because..."
Payment Plans for Tuition & Fees,https://successportal.conestogac.on.ca/students/faqs/detail/77/payment-plans-for-tuition-and-,"Conestoga College does not offer traditional installment plans or payment extensions. However, eligible students in Level 2 or higher can opt into a Payment Schedule, which allows for 50% of the fees to be paid by the due date, with the remaining 50% due three days before classes start. A fee applies for opting into this schedule. To set up the..."
Paying Tuition & Fees,https://successportal.conestogac.on.ca/students/faqs/detail/3/paying-tuition-and-fees,"Information on how to pay your fees can be found at the Office of the Registrar. All students, including those applying for OSAP, are required to pay a non-refundable tuition deposit for each academic year. This deposit secures your place in the program."
Ontario Student Assistance Program (OSAP),https://successportal.conestogac.on.ca/students/faqs/detail/80/ontario-student-assistance-pro,"OSAP is designed to assist eligible students in Ontario with funding their postsecondary education. To be eligible for OSAP, you must meet the following criteria: Citizenship or Residency: You must be a Canadian citizen, Permanent Resident, or Protected Person Ontario Residency: You need to be an Ontario resident and have lived in Ontario for at..."
"Awards, Scholarships & Bursaries",https://successportal.conestogac.on.ca/students/faqs/detail/81/awards-scholarships-and-bursar,"If you are interested in being considered for various awards and financial support, we encourage you to complete the  General Awards Application. This application is your gateway to accessing a range of opportunities that can provide valuable assistance in pursuing your educational goals.  Eligibility and Application Process Eligible..."
Mental Health Support: Emergency & After Hours,https://successportal.conestogac.on.ca/students/faqs/detail/82/mental-health-support-emergenc,"For immediate assistance, please see the following resources: If you or someone you know is at risk of harming themselves or others, please call 911. Suicide Crisis Helpline: Call or text 988 Need to talk to someone right now? Good 2 Talk is a free and confidential mental health service for college and university students. Call 1-866-925-5454 or..."
Is Counselling for Me?,https://successportal.conestogac.on.ca/students/faqs/detail/85/is-counselling-for-me,"Many students find they struggle to cope with various pressures they experience at times. It can be hard to live on your own for the first time or adjust to living in a new country. You may be worried about your academic performance or have test-taking anxiety. You may be simply overwhelmed with having to juggle so many demands such as work,..."
Mental Health Support: Non-Emergency (Conestoga Specific),https://successportal.conestogac.on.ca/students/faqs/detail/83/mental-health-support-non-emer,"Counselling Services: Confidential, one-to-one appointments with counsellors are available to help students work through issues affecting their mental health. There is no cost to meet with a counsellor, and appointments can be in-person, virtual, or by telephone at all campuses. Dialogue Virtual Care: This service is provided by the student health..."
Using Labour Market Information for Career Planning,https://successportal.conestogac.on.ca/students/docs/detail/52?filename=Labour-Market-Information.pdf,"Labour market information can help you learn more about the industry, companies and roles that align with your career goals and help you understand the types of employment opportunities that are available."
Labour Market Information Research Sites,https://successportal.conestogac.on.ca/students/docs/detail/111?filename=Labour-Market-Information-Research-Sites.pdf,Sources for labour market information when researching and exploring your career options.
Interview Questions: Purpose and Tips,https://successportal.conestogac.on.ca/students/docs/detail/87?filename=Interview-Questions-Purpose-and-Tips.pdf,Tips for how to reply to common interview questions.
Sample General Interview Questions,https://successportal.conestogac.on.ca/students/docs/detail/113?filename=Sample-Interview-Questions.pdf,Examples of interview questions to help students prepare for a virtual/in person interview.
Behavioural Based Interview Questions,https://successportal.conestogac.on.ca/students/docs/detail/86?filename=Behavioural-Based-Interview-Questions-STAR.pdf,Provides examples of questions used in a behavioural-based interview format.
Questions to Ask an Employer at an Interview,https://successportal.conestogac.on.ca/students/docs/detail/28?filename=Questions-to-Ask-an-Employer-at-an-Interview.pdf,Examples of questions to ask an employer at an interview.
In-Person Job Interview Tips,https://successportal.conestogac.on.ca/students/docs/detail/29?filename=Interview-Do%27s-and-Don%27ts.pdf,Tips on what to do and what not to do at an interview.
Networking Personal Business Card,https://successportal.conestogac.on.ca/students/docs/detail/34?filename=Networking-%28Personal%29-Business-Card.pdf,How and why to use a networking personal business card.
Search for Student Jobs,https://successportal.conestogac.on.ca/students/docs/detail/168?filename=Student-Job-Search.pdf,Looking to work while studying? Check out our list of what to consider to set yourself up for success!
Virtual Job Interviews,https://successportal.conestogac.on.ca/students/docs/detail/30?filename=Acing-the-Video-Interview.pdf,To to prepare for and successfully complete a virtual interview.
Virtual Job Fair Success,https://successportal.conestogac.on.ca/students/docs/detail/37?filename=Virtual%E2%80%AFJob%E2%80%AFFair-Success.pdf,"Learn how to prepare, navigate and successfully connect with employers at a virtual career fair."
Using Elevator Pitch for Interview Practice,https://successportal.conestogac.on.ca/students/docs/detail/167?filename=Using-Elevator-Pitch-for-Interview-Practice.pdf,Learn how to use VMock's Elevator Pitch tool to practice answering interview questions.
Third Party Recruiters,https://successportal.conestogac.on.ca/students/docs/detail/42?filename=Third-Party-Recruiters.pdf,"Third party recruiters are agencies, organizations or individuals recruiting candidates for employment opportunities with other organizations. Understand what is involved when working for a third party recruiter and your rights and responsibilities under the Employment Standards Act."
Questions to Ask a Job or Career Fair,https://successportal.conestogac.on.ca/students/docs/detail/36?filename=Questions-to-Ask-at-Job-or-Career-Fair.pdf,What to ask employers at a job or career fair.
LinkedIn Student Profile Checklist,https://successportal.conestogac.on.ca/students/docs/detail/21?filename=LinkedIn-Student-Profile-Checklist.pdf,Guide to developing your student profile on LinkedIn.
Interview Types,https://successportal.conestogac.on.ca/students/docs/detail/23?filename=Interview-Types.pdf,This resources describes the different types of interviews used by employers.
Interview Process,https://successportal.conestogac.on.ca/students/docs/detail/24?filename=Interview-Process.pdf,"What to do before, during and after an interview."
Informational Meetings,https://successportal.conestogac.on.ca/students/docs/detail/33?filename=Informational-Meetings.pdf,"Informational interviewing is an effective networking tool and a practical way to gather information about careers, positions, companies and industries that interest you. Learn how to use informational interviews to support your career exploration."
Graduate Studies,https://successportal.conestogac.on.ca/students/docs/detail/54?filename=Graduate-Studies-and-Professional-Degrees.pdf,"Going to graduate school or obtaining a professional degree may be required to achieve your career goals. This resource will help you understand the different types of credentials, the application process and identify things to consider when choosing a program of study."
Educational Planning Resources,https://successportal.conestogac.on.ca/students/docs/detail/53?filename=Educational-Planning-Resources.pdf,Additional education is a great investment that will open many career options to you after graduation. It can also be a lengthy and expensive process. Researching schools and program majors to find ones that best fit your learning style and future goals is an essential first step.
Crafting a Career,https://successportal.conestogac.on.ca/students/docs/detail/50?filename=Crafting-a-Career.pdf,Successful career development is now a lifelong process that needs to be assessed on a continuous basis. It’s no longer a single decision; rather it's a series of decisions that help you move in the direction of the life and the future that you envision for yourself.
Cover Letter Checklist,https://successportal.conestogac.on.ca/students/docs/detail/18?filename=Cover-Letter-Checklist.pdf,A tool to help you review your cover letter.
Career Pathways for International Students,https://successportal.conestogac.on.ca/students/docs/detail/47?filename=Career-Pathways-for-International-Students.pdf,"Career Pathways is a comprehensive, professional, and occupation-specific roadmap for skilled newcomers. Career Pathways can help you understand how to become certified to work as a skilled professional in Canada."
In-Person Job fair Success,https://successportal.conestogac.on.ca/students/docs/detail/35?filename=In-Person-Job-Fair-Success.pdf,How to stand out to recruiters at a job or career fair.
Career Discovery,https://successportal.conestogac.on.ca/students/docs/detail/49?filename=Career-Discovery.pdf,"The first step on your career journey is to identify and recognize your VIPS: values, interests, personality and skills. This resources discusses how reflecting on your VIPS can support your career planning."
Career Decision Making,https://successportal.conestogac.on.ca/students/docs/detail/48?filename=Career-Decision-Making.pdf,Career decision making can feel stressful. This example and model may help you in making decisions about your future.
Career Assessments,https://successportal.conestogac.on.ca/students/docs/detail/110?filename=Career-Assessments.pdf,learn about career assessments and how they can assist you with your career planning.
Build a LinkedIn Profile,https://successportal.conestogac.on.ca/students/docs/detail/20?filename=Build-a-LinkedIn-Profile.pdf,"How to build a profile on LinkedIn, the world's largest professional networking site."
30-Second Introduction,https://successportal.conestogac.on.ca/students/docs/detail/31?filename=30-Second-Introduction.pdf,How to develop your elevator pitch or 30-second introduction.
Determining Your Next Conestoga Program,https://successportal.conestogac.on.ca/students/docs/detail/3?filename=My-Next-Conestoga-Program.pdf,Determining your next Conestoga program
Study Abroad,https://successportal.conestogac.on.ca/students/docs/detail/55?filename=Study-Abroad.pdf,Learn more about the benefits and options for studying abroad and the factors to consider when selecting a program of study.
Student Success Strategic Plan 2021-2024,https://successportal.conestogac.on.ca/students/docs/detail/219?filename=Student-Success-Strategic-Plan-21-24.pdf,Strategic plan for Student Success
Choosing a Second Program at Conestoga,https://successportal.conestogac.on.ca/students/docs/detail/218?filename=Second-Programs-Handout.pdf,Discover how to choose a second program at Conestoga and what supports are available to you.
How to Create a Work Term Record,https://successportal.conestogac.on.ca/students/docs/detail/186?filename=Create-a-work-term-record-final-draft.pdf,Directions on how to create a co-op work term record within the MyCareer platform.
How to Accept Terms and Conditions with MyCareer,https://successportal.conestogac.on.ca/students/docs/detail/187?filename=Accept-terms-and-conditions-final-draft.pdf,Step by step guidance on accepting the terms and conditions for co-op program within the MyCareers platform.
We've Moved! Find out where Student Success services have moved to!,https://successportal.conestogac.on.ca/students/docs/detail/188?filename=We%27ve-Moved_DIGITAL-PDF_SSP-1.pdf,Student Success services have moved to new locations. Use this document to identify where you can go to access these services.
2SLGBTQIA+ Student Resource,https://successportal.conestogac.on.ca/students/docs/detail/185?filename=2SLGBTQIA_-Student-Resources.pdf,"Use the 2SLGBTQIA+ Student Resource to find community connections, and other resources to support you."
Sexual & Gender-Based Violence Prevention & Support Resource,https://successportal.conestogac.on.ca/students/docs/detail/183?filename=SGBV-Resource_SSP_DIGITAL.pdf,"Find out more about Conestoga Consent Culture, and other resources around Sexual & Gender-Based Violence Prevention & Support at Conestoga College."
Immunization Referral Process 2024,https://successportal.conestogac.on.ca/students/docs/detail/182?filename=Immunization-Referral-Process-2024.pdf,Immunization Referral Process 2024
Student HSPnet Consent Form Sign-Off Steps,https://successportal.conestogac.on.ca/students/docs/detail/181?filename=HSPnet-Consent-Form-Sign-off-Instructions.pdf,This documents details the process for student sign-off within the HSPNet platform. This document is appropriate for students involved with work integrated learning activities.
"When I am on a co-op term or completing my field placement, can I still work on or/and off-campus as an international student?",https://successportal.conestogac.on.ca/students/faqs/detail/16/when-i-am-on-co-op-term-or-com,"If a student with a Co-op Work Permit has full-time status during the “work experience” portion of their program (co-op or field placement), and if the student continues to comply with the eligibility requirements, the student may be eligible to work on and/or off-campus, in addition to their co-op/field placement work hours. If you have questions..."
"Who can I speak to for help with questions about study permit extensions, co-op work permit, and post-graduation work permit applications?",https://successportal.conestogac.on.ca/students/faqs/detail/23/who-can-i-speak-to-for-help-wi,"International Student Immigration Advisors (ISIA) assist students by providing information and resources related to Immigration, Refugees and Citizenship Canada (IRCC) including study permits, co-op work permits and post-graduation work permit applications. International students are assigned an ISIA based on their program. You can book an..."
IT Related Job Boards,https://successportal.conestogac.on.ca/students/docs/detail/179?filename=IT-job-boards.pdf,"Whether you’re a student seeking a co-op job, part-time work, an internship, or a full-time position, this tip sheet provides some suggested job boards for IT related jobs."
How do I approach group work?,https://successportal.conestogac.on.ca/students/faqs/detail/64/how-do-i-approach-group-work,How do I work in groups?
How do I do group work?,https://successportal.conestogac.on.ca/students/faqs/detail/63/how-do-i-do-group-work,How do I work in groups?
How do I study?,https://successportal.conestogac.on.ca/students/faqs/detail/35/how-do-i-study,How do I study actively?Test Prep: Try Retrieval Practice to Strengthen Your Memory Video
How do I know how to do my assignment?,https://successportal.conestogac.on.ca/students/faqs/detail/62/how-do-i-know-how-to-do-my-ass,Understanding Outcomes and Assignment Times
What are outcomes?,https://successportal.conestogac.on.ca/students/faqs/detail/61/what-are-outcomes,Understanding Outcomes and Assignment Terms Document
How do I break down larger assignments?,https://successportal.conestogac.on.ca/students/faqs/detail/60/how-do-i-break-down-larger-ass,Breakdown Tasks to Complete Assignments VideoTask Breakdown Worksheet
How do I manage assignments?,https://successportal.conestogac.on.ca/students/faqs/detail/59/how-do-i-manage-assignments,How do I manage assignments?
How do I study for multiple choice tests?,https://successportal.conestogac.on.ca/students/faqs/detail/58/how-do-i-study-for-multiple-ch,Preparing for Multiple Choice Tests PDF
How do I answer multiple choice questions?,https://successportal.conestogac.on.ca/students/faqs/detail/57/how-do-i-answer-multiple-choic,How do I answer multiple choice questions?
How do I manage my time?,https://successportal.conestogac.on.ca/students/faqs/detail/52/how-do-i-manage-my-time,How do I manage my time?
How do I organize my semester?,https://successportal.conestogac.on.ca/students/faqs/detail/51/how-do-i-organize-my-semester,Using Time Management Tools Together Video
How do I make a semester plan?,https://successportal.conestogac.on.ca/students/faqs/detail/50/how-do-i-make-semester-plan,Using Time Management Tools Together Video
How do I make a term calendar?,https://successportal.conestogac.on.ca/students/faqs/detail/49/how-do-i-make-term-calendar,Using Time Management Tools Together Video
What is the instructional plan?,https://successportal.conestogac.on.ca/students/faqs/detail/48/what-is-instructional-plan,Using Your Instructional Plan Document
How do I use a planner?,https://successportal.conestogac.on.ca/students/faqs/detail/47/how-do-i-use-planner,Using Time Management Tools Together Video
How do I find time for everything?,https://successportal.conestogac.on.ca/students/faqs/detail/46/how-do-i-find-time-for-everyth,How do I manage my time?
How do I get everything done?,https://successportal.conestogac.on.ca/students/faqs/detail/45/how-do-i-get-everything-done,How do I manage my time?
How do I know what to study?,https://successportal.conestogac.on.ca/students/faqs/detail/44/how-do-i-know-what-to-study,How do I study actively?
Why should I take notes?,https://successportal.conestogac.on.ca/students/faqs/detail/43/why-should-i-take-notes,Why you should take notes to improve learning video
What should I write down?,https://successportal.conestogac.on.ca/students/faqs/detail/42/what-should-i-write-down,How do I take notes?
What is an effective notetaking method?,https://successportal.conestogac.on.ca/students/faqs/detail/41/what-is-effective-notetaking-m,How do I take notes?
How do I take notes?,https://successportal.conestogac.on.ca/students/faqs/detail/40/how-do-i-take-notes,How do I take notes?
How do I read course materials?,https://successportal.conestogac.on.ca/students/faqs/detail/39/how-do-i-read-course-materials,Active reading with the SQ5R strategy
How do I read textbooks?,https://successportal.conestogac.on.ca/students/faqs/detail/38/how-do-i-read-textbooks,Active reading with the SQ5R strategy
What is a study plan?,https://successportal.conestogac.on.ca/students/faqs/detail/36/what-is-study-plan,Study Plan Worksheet
How do I make a study plan?,https://successportal.conestogac.on.ca/students/faqs/detail/37/how-do-i-make-study-plan,Study Plan Worksheet
Job Fair Preparation,https://successportal.conestogac.on.ca/students/docs/detail/178?filename=Talent-Hub-Co-op-tip-sheet-job-fair-prep.pdf,"Job Fairs can be stressful. Learn what you can do before, during and after a job fair to make the best impression possible."
How To Book an Appt on the Student Success Portal,https://successportal.conestogac.on.ca/students/docs/detail/177?filename=Booking-an-Appt-on-the-Student-Success-Portal.pdf,booking instructions
How To Upload Documents on the HSTrax Community,https://successportal.conestogac.on.ca/students/docs/detail/176?filename=Uploading-Documents-on-the-HSTrax-Community.pdf,uploading instructions
Standard First Aid and CPR - Winter 2024,https://successportal.conestogac.on.ca/students/docs/detail/174?filename=Standard-First-Aid-and-CPR-Winter-2024.pdf,course catalogue
Standard First Aid and CPR - Spring 2024,https://successportal.conestogac.on.ca/students/docs/detail/173?filename=Standard-First-Aid-and-CPR-Spring-2024.pdf,SFA & CPR Spring 2024 course catalogue
I want to work while I’m studying at Conestoga – how can I find a job?,https://successportal.conestogac.on.ca/students/faqs/detail/34/i-want-to-work-while-i-m-study,"When looking for work, it is important to find something that will allow you to prioritize your studies. Even if you can work full-time hours (35+ hours per week) you should apply to part-time jobs as these types of jobs usually have flexible schedules. Please be mindful of the hours that you work; succeeding in your studies should be your top..."
Responses that Support Period Positive Campuses,https://successportal.conestogac.on.ca/students/docs/detail/171?filename=Responses-that-support-period-positive-campuses.pdf,"To support period-positive campuses, we have generated a variety of response options that can become your go-to! Depending on your comfort level, you may choose to practice a few of these so they feel familiar and more natural."
Co-operative Education Co-op Advisor Program Portfolios,https://successportal.conestogac.on.ca/students/docs/detail/170?filename=ssp-asset-ca-programs.pdf,"This document details the Co-op Advising team based upon campus location, schools served and program assignments. To be used by current co-op students in need of identifying the appropriate Co-op advisor for their needs or inquiries"
"As an international student, am I eligible to work in Canada?",https://successportal.conestogac.on.ca/students/faqs/detail/31/as-international-student-am-i-,You can use this helpful tool to determine whether you are eligible to work in Canada:  Work Eligibility Self Assessment Tool (WESAT) (office.com) The following videos provides instructions on how to use the Work Eligibility Self-Assessment Tool: Can I work in Canada? - YouTube
When should I apply for a co-op work permit (CWP)?,https://successportal.conestogac.on.ca/students/faqs/detail/11/when-should-i-apply-for-co-op-,"Due to long CWP application processing times, it is recommended that you apply for the CWP together with your study permit, even if the acceptance letter includes an optional co-op."
Who can I talk to if I need help with housing?,https://successportal.conestogac.on.ca/students/faqs/detail/21/who-can-i-talk-to-if-i-need-he,International Transition Coordinators (ITCs) are available to provide international students with information and resources to help in their housing search. You can contact an ITC by email at internationaltransition@conestogac.on.ca or by booking an appointment on the Student Success Portal. Students can also find helpful housing search resources...
Where can I learn more about the information contained on my study permit and what it means?,https://successportal.conestogac.on.ca/students/faqs/detail/9/where-can-i-learn-more-about-i,This video shares details about how you can better understand the information on your Study Permit.
How can I open a bank account as an international student?,https://successportal.conestogac.on.ca/students/faqs/detail/29/how-can-i-open-bank-account-as,"The process and documents required for opening a bank account in Canada depends on which bank you select. If you already have a GIC with a Canadian bank, you may want to consider doing all your banking with that bank. If you would prefer to use another bank, we suggest opening an account at a bank with a location close to either your campus or..."
